"address","store","zip","city","state","Long","Lat","crimes2014","Population","AvgIncome","MedIncome","CollegeGradPercent","IncomeInequality","Unemployment","HighSchoolGradRate","PovertyLine","KDEraw","closest_stops_in_meters"
"10107 Research Blvd","Target",78759,"Austin","TX",-97.746154,30.3927847,53,38891,"96,585","70,095",64.8,"102500",6.2,97.5,5.8,1.45267831701259e-09,243.176463426937
"1030 Norwood Park Blvd","Walmart",78753,"Austin","TX",-97.692513,30.338482,577,49301,"51,346","39,228",19.6,"53750",7.4,69.7,28,3.77416601193279e-09,152.688030864724
"10401 Research Blvd","Costco",78759,"Austin","TX",-97.743585,30.3967472,31,38891,"96,585","70,095",64.8,"102500",6.2,97.5,5.8,1.51096005820341e-09,342.126521798727
"10900 Lakeline Mall Dr","Target",78717,"Austin","TX",-97.7986616,30.4763797,28,22538,"87290","99541",59.5,"132500",4.9,97.7,2.5,1.5976149169823e-09,325.387689074937
"10901 Lakeline Mall Dr","Sam's Club",78717,"Austin","TX",-97.794982,30.472862,1,22538,"87290","99541",59.5,"132500",4.9,97.7,2.5,1.55666793292961e-09,227.23778646311
"11220 FM 2222","Target",78730,"Austin","TX",-97.929487,30.174665,10,7955,"128524","108421",73.7,"137500",4.6,98.7,5.1,4.07750036416387e-13,3596.75209772994
"12901 N IF 35 NB","Target",78753,"Austin","TX",-97.669946,30.415144,92,49301,"51,346","39,228",19.6,"53750",7.4,69.7,28,1.71968561502965e-09,366.158800348847
"13201 Ranch Rd 620 N","Walmart",78717,"Austin","TX",-97.791632,30.468023,55,22538,"87290","99541",59.5,"132500",4.9,97.7,2.5,1.47294158777127e-09,249.366701405839
"2300 W Ben White Blvd","Target",78704,"Austin","TX",-97.7937676,30.2334435,116,42117,"35733","52306",59.4,"104500",5.6,86.3,18.9,2.50237672354687e-09,286.430974038419
"2525 W Anderson Ln","Walmart",78757,"Austin","TX",-97.733298,30.355196,167,21310,"77,171","60,856",54.1,"72500",4.5,92.9,17.3,1.78448919650755e-09,111.755172673044
"4301 W William Cannon Dr","Costco",78749,"South Austin","TX",-97.8416446,30.219648,39,34449,"97657","84954",63,"72,500",5.3,97.5,5.5,9.78881290107368e-10,220.448846577001
"5017 W Hwy 290","Walmart",78735,"Austin","TX",-97.823452,30.232307,99,16131,"75204","81152",66,"145000",5.3,95.2,8.2,8.8758868350155e-10,230.424956795089
"5300 S MoPac Expy","Target",78749,"Austin","TX",-97.8300194,30.2337365,66,34449,"97657","84954",63,"72,500",5.3,97.5,5.5,8.33223809834391e-10,160.407270759261
"710 E Ben White Blvd","Walmart",78704,"Austin","TX",-97.754094,30.221048,330,42117,"35733","52306",59.4,"104500",5.6,86.3,18.9,2.72984773301976e-09,258.185101165923
"7101 W SH 71","Big Lots",78735,"Austin","TX",-97.8796896,30.2346999,5,16131,"75204","81152",66,"145000",5.3,95.2,8.2,3.426498666642e-10,269.093704337172
"8201 N FM 620","Walmart",78726,"Austin","TX",-97.8452263,30.4164823,18,13112,"89891","68777",63.4,"132500",5.6,97.4,8.8,3.27249766142343e-10,1290.32972240122
"8601 Research Blvd","Target",78758,"Austin","TX",-97.7176078,30.3627666,41,44072,"58301","44476",31.2,"53750",8.9,80.5,23.7,3.62772605286312e-09,85.1299399555484
"8666 Spicewood Springs Rd","Big Lots",78759,"Austin","TX",-97.7716568,30.4329963,4,38891,"96,585","70,095",64.8,"102500",6.2,97.5,5.8,7.43543077340362e-10,324.558015304442
"8740 Research Blvd","Big Lots",78757,"Austin","TX",-97.7216924,30.3647411,1,21310,"77,171","60,856",54.1,"72500",4.5,92.9,17.3,3.0862423519183e-09,329.546000082766
"Capital Plaza Shopping Center, 5621 N I H 35","Target",78723,"Austin","TX",-97.7085014,30.3146364,114,28330,"34242","42615",34.1,"67500",9.2,78.7,29.7,3.58872457516428e-09,245.210471400018
"Gateway Shopping Centers, 9700 N Capital of Texas Hwy","Sam's Club",78759,"Austin","TX",-97.742778,30.391767,9,38891,"96,585","70,095",64.8,"102500",6.2,97.5,5.8,1.53921008406945e-09,190.927307413203
"Parmer Crossing, 2506 W Parmer Ln","Big Lots",78727,"Austin","TX",-97.7032259,30.4204453,3,26689,"62648","69699",51,"95000",4,93.1,9.9,9.01336404769844e-10,245.870826035677
"South Town Square, 4970 W Hwy 290","Sam's Club",78735,"Austin","TX",-97.8207358,30.236365,4,16131,"75204","81152",66,"145000",5.3,95.2,8.2,8.90317849084449e-10,338.892801878794
"Southpark Meadows, 9300 S Interstate 35","Walmart",78748,"Austin","TX",-97.792074,30.161058,406,40651,"81337","68835",42.1,"77500",6,93.7,9.5,1.01308018466533e-09,266.481447579401
"Southpark Meadows, 9500 S IH 35 Frontage Rd","Target",78748,"Austin","TX",-97.792024,30.161056,175,40651,"81337","68835",42.1,"77500",6,93.7,9.5,1.01234952048883e-09,263.559468953229
"Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd","Sam's Club",78748,"Austin","TX",-97.7968351,30.1560748,46,40651,"81337","68835",42.1,"77500",6,93.7,9.5,9.70831702628424e-10,379.017444777745
"Svc Rd Sb, 12900 N Interstate Hwy 35","Walmart",78753,"Austin","TX",-97.671089,30.388987,185,49301,"51,346","39,228",19.6,"53750",7.4,69.7,28,1.87063275345398e-09,976.813390438131
