"store","address","KDEraw"
"Walmart","710 E Ben White Blvd",2.57794006643444e-09
"Walmart","5017 W Hwy 290",4.70063800204059e-10
"Walmart","1030 Norwood Park Blvd",4.19496498433447e-09
"Walmart","Southpark Meadows, 9300 S Interstate 35",1.387463969052e-09
"Walmart","Svc Rd Sb, 12900 N Interstate Hwy 35",1.91455114859e-09
"Walmart","2525 W Anderson Ln",2.51165375417433e-09
"Walmart","13201 Ranch Rd 620 N",1.22849714959346e-09
"Walmart","8201 N FM 620",6.41825609812551e-10
"Costco","10401 Research Blvd",3.11408382144147e-09
"Costco","4301 W William Cannon Dr",1.28116630202932e-09
"Sam's Club","Southpark Meadows, J-34, 9900 S IH 35 Frontage Rd",1.06197091205334e-09
"Sam's Club","South Town Square, 4970 W Hwy 290",4.14199955344918e-10
"Sam's Club","Gateway Shopping Centers, 9700 N Capital of Texas Hwy",2.93087321125113e-09
"Sam's Club","10901 Lakeline Mall Dr",1.59199950395715e-09
"Big Lots","8666 Spicewood Springs Rd",1.37694793721322e-09
"Big Lots","8740 Research Blvd",3.59685933398987e-09
"Big Lots","7101 W SH 71",5.42577758946644e-10
"Big Lots","Parmer Crossing, 2506 W Parmer Ln",1.34646978286807e-09
"Target","2300 W Ben White Blvd",2.596095440737e-09
"Target","8601 Research Blvd",3.86877496545479e-09
"Target","Capital Plaza Shopping Center, 5621 N I H 35",5.42461190674097e-09
"Target","10107 Research Blvd",2.97843560482147e-09
"Target","5300 S MoPac Expy",6.42953379170278e-10
"Target","10900 Lakeline Mall Dr",2.03689504575599e-09
"Target","12901 N IF 35 NB",2.41979634379944e-09
"Target","Southpark Meadows, 9500 S IH 35 Frontage Rd",1.38685045041876e-09
"Target","11220 FM 2222",7.99959314249851e-11
