#VALUE!,NA.,Zipcode,Lat,Long,City,State,Population,AvgIncome,MedIncome,CollegeGradPercent,average.SAT.score,High.school.drop.,TotStud,IncomeInequality,Unemployment,HighSchoolGradRate,PovertyLine
" -""1""",34,78701,30.271653,-97.741553,Austin,Texas,3855,35757,63484,73,NA,NA,NA,,,,
" -""2""",42,78702,30.263909,-97.714495,Austin,Texas,22534,23348,35350,28,1653,2.826,930,,,,
" -""3""",21,78703,30.294204,-97.765114,Austin,Texas,19585,54591,85379,81,1578,0.6,2209,,,,
" -""4""",35,78704,30.243128,-97.765874,Austin,Texas,42117,35733,52306,59.4,1503,1.817,2102,104500,5.6,86.3,18.9
" -""5""",43,78705,30.293474,-97.738268,Austin,Texas,26825,14740,11910,67,NA,NA,NA,,,,
" -""6""",8,78717,30.488309,-97.764829,Austin,Texas,22538,87290,99541,59.5,NA,0,88,132500,4.9,97.7,2.5
" -""7""",32,78719,30.184794,-97.682619,Austin,Texas,1765,36480,39794,18,NA,NA,NA,,,,
" -""8""",40,78721,30.269811,-97.683126,Austin,Texas,10124,26646,30591,14,1200,2.573,1660,,,,
" -""9""",33,78722,30.293272,-97.709068,Austin,Texas,6365,35794,44798,61,NA,NA,NA,,,,
" -""10""",36,78723,30.305341,-97.683344,Austin,Texas,28330,34242,42615,34.1,NA,NA,NA,67500,9.2,78.7,29.7
" -""11""",31,78724,30.297099,-97.617767,Austin,Texas,15428,36641,37736,8,1607,0.715,2700,,,,
" -""12""",24,78725,30.228676,-97.594967,Austin,Texas,1836,47076,53131,15,NA,NA,NA,,,,
" -""13""",7,78726,30.430488,-97.84253,Austin,Texas,13112,89891,68777,63.4,NA,NA,NA,132500,5.6,97.4,8.8
" -""14""",14,78727,30.4283,-97.718143,Austin,Texas,26689,62648,69699,51,NA,NA,NA,95000,4,93.1,9.9
" -""15""",23,78728,30.453764,-97.686695,Austin,Texas,17298,51078,46870,40,1723,0,114,,,,
" -""16""",19,78729,30.457246,-97.756419,Austin,Texas,24561,59497,61165,45,1638,0.1,2800,,,,
" -""17""",1,78730,30.363632,-97.850355,Austin,Texas,7955,128524,108421,73.7,NA,NA,NA,137500,4.6,98.7,5.1
" -""18""",15,78731,30.345211,-97.767455,Austin,Texas,24059,62404,80192,78,NA,NA,NA,,,,
" -""19""",2,78732,30.382536,-97.894904,Austin,Texas,3629,103951,125171,78,NA,NA,NA,,,,
" -""20""",5,78733,30.323857,-97.89486,Austin,Texas,8716,102239,119516,69,NA,NA,NA,,,,
" -""21""",12,78734,30.376159,-97.946334,Austin,Texas,12925,74052,85233,53,NA,NA,NA,,,,
" -""22""",11,78735,30.265993,-97.863894,Austin,Texas,16131,75204,81152,66,NA,NA,NA,145000,5.3,95.2,8.2
" -""23""",16,78736,30.250877,-97.96881,Austin,Texas,6897,62294,85826,48,NA,NA,NA,,,,
" -""24""",9,78737,30.177041,-97.956661,Austin,Texas,7100,87029,115714,61,NA,NA,NA,,,,
" -""25""",4,78738,30.32751,-97.98904,Austin,Texas,2840,102295,121522,71,1670,0.4,2700,,,,
" -""26""",3,78739,30.178839,-97.889064,Austin,Texas,8643,102707,132552,70,NA,NA,NA,,,,
" -""27""",41,78741,30.229845,-97.715136,Austin,Texas,40661,25369,30021,20,NA,NA,NA,,,,
" -""28""",39,78742,30.239436,-97.67142,Austin,Texas,625,28281,21071,14,NA,NA,NA,,,,
" -""29""",28,78744,30.177015,-97.725888,Austin,Texas,33706,38256,39652,13,1298,0,338,,,,
" -""30""",26,78745,30.206806,-97.797108,Austin,Texas,53044,43458,48029,34,1289,0.9,1700,,,,
" -""31""",6,78746,30.296951,-97.811647,Austin,Texas,26023,100571,129188,79,1800,0,2574,,,,
" -""32""",18,78747,30.12247,-97.74621,Austin,Texas,5079,60861,56357,29,NA,NA,NA,,,,
" -""33""",20,78748,30.159688,-97.823287,Austin,Texas,25361,57710,66661,40,1298,1.3,2895,,,,
" -""34""",13,78749,30.216168,-97.856006,Austin,Texas,28497,68244,79712,59,1598,0.4,3000,,,,
" -""35""",10,78750,30.413499,-97.802001,Austin,Texas,23476,78428,79685,57,1759,0.114,5100,,,,
" -""36""",38,78751,30.310819,-97.722821,Austin,Texas,14005,29779,37521,64,NA,NA,NA,,,,
" -""37""",37,78752,30.331288,-97.70466,Austin,Texas,18030,30207,33173,23,1142,0.1,1400,,,,
" -""38""",29,78753,30.380366,-97.674764,Austin,Texas,44210,38206,40463,19,1360,0.086,2432,,,,
" -""39""",22,78754,30.349483,-97.64039,Austin,Texas,5422,51810,54087,38,NA,0,13,,,,
" -""40""",30,78756,30.3222,-97.740236,Austin,Texas,7128,36978,59745,62,1622,0.7,1800,,,,
" -""41""",25,78757,30.351934,-97.732827,Austin,Texas,21415,45090,54205,48,NA,NA,NA,,,,
" -""42""",27,78758,30.387634,-97.70531,Austin,Texas,42820,42398,42194,31,1194,1.1,1794,,,,
" -""43""",17,78759,30.400789,-97.755969,Austin,Texas,40547,61284,65851,65,1685,0.86,2500,,,,
